taskname	maxRank	T1	targetclass	meanTrainInfo	meanTestInfo	stdTestInfo
Heart_Disease	 4	 25	 1	 31.72	 24.41	 5.44	
Heart_Disease	 4	 25	 2	 34.27	 21.52	 4.39	
Hepatitis	 4	 25	 1	 15.93	 4.42	 2.04	
Hepatitis	 4	 25	 2	 14.59	 6.57	 2.17	
Ionosphere	 4	 25	 1	 69.20	 57.80	 9.51	
Ionosphere	 4	 25	 2	 40.72	 36.18	 8.37	
Labor_Relations	 4	 25	 1	 10.29	 5.48	 2.08	
Labor_Relations	 4	 25	 2	 7.43	 3.49	 1.39	
Liver_Disorders	 4	 25	 1	 18.64	 6.44	 2.74	
Liver_Disorders	 4	 25	 2	 13.71	 2.94	 1.45	
Molecular_Biology	 4	 25	 1	 8.57	 4.52	 2.06	
Molecular_Biology	 4	 25	 2	 15.67	 10.17	 2.88	
Mushrooms	 4	 25	 1	 1489.97	 1493.33	 29.84	
Mushrooms	 4	 25	 2	 1475.51	 1472.32	 30.09	
Sonar	 4	 25	 1	 27.34	 10.33	 3.97	
Sonar	 4	 25	 2	 25.14	 8.23	 3.41	
Thyroid_Disease	 4	 25	 1	 105.39	 100.12	 12.83	
Thyroid_Disease	 4	 25	 2	 191.36	 175.68	 19.19	
Wdbc	 4	 25	 1	 132.56	 116.07	 11.15	
Wdbc	 4	 25	 2	 109.14	 90.31	 12.12	
Wisconsin_Breast_Cancer	 4	 25	 1	 180.80	 155.78	 11.50	
Wisconsin_Breast_Cancer	 4	 25	 2	 164.65	 146.70	 10.81	
Wpbc	 4	 25	 1	 11.57	 1.46	 1.09	
Wpbc	 4	 25	 2	 15.98	 1.27	 1.08	
faults	 4	 25	 1	 179.51	 163.04	 16.48	
faults	 4	 25	 2	 129.54	 104.51	 9.84	
statlog	 4	 25	 1	 328.04	 317.16	 18.85	
statlog	 4	 25	 2	 335.05	 321.94	 15.16	
waveform	 4	 25	 1	 569.14	 543.64	 27.31	
waveform	 4	 25	 2	 519.56	 490.31	 29.06	
wine	 4	 25	 1	 182.95	 163.49	 12.58	
wine	 4	 25	 2	 207.32	 192.47	 15.58	
Anastomosis	 5	 1	 1	 5.59	 0.86	 0.93	
Anastomosis	 5	 1	 2	 13.22	 1.05	 1.23	
Australian	 5	 1	 1	 106.50	 99.44	 7.81	
Australian	 5	 1	 2	 105.91	 100.37	 8.65	
Congressional_Voting	 5	 1	 1	 105.92	 105.83	 5.77	
Congressional_Voting	 5	 1	 2	 108.63	 109.11	 6.46	
Echo_cardiogram	 5	 1	 1	 18.15	 16.09	 3.17	
Echo_cardiogram	 5	 1	 2	 19.27	 16.23	 3.79	
German	 5	 1	 1	 40.19	 25.74	 5.17	
German	 5	 1	 2	 39.30	 28.22	 4.85	
Heart_Disease	 5	 1	 1	 30.76	 23.51	 5.86	
Heart_Disease	 5	 1	 2	 33.45	 21.87	 4.52	
Hepatitis	 5	 1	 1	 14.16	 4.40	 2.16	
Hepatitis	 5	 1	 2	 13.29	 6.29	 2.25	
Ionosphere	 5	 1	 1	 62.98	 51.57	 13.99	
Ionosphere	 5	 1	 2	 40.89	 38.07	 6.62	
Labor_Relations	 5	 1	 1	 8.68	 3.78	 1.64	
Labor_Relations	 5	 1	 2	 7.14	 3.63	 1.39	
Liver_Disorders	 5	 1	 1	 15.91	 5.25	 2.99	
Liver_Disorders	 5	 1	 2	 11.47	 4.29	 2.28	
Molecular_Biology	 5	 1	 1	 8.43	 4.60	 2.07	
Molecular_Biology	 5	 1	 2	 15.11	 10.42	 3.04	
Mushrooms	 5	 1	 1	 1492.91	 1490.36	 28.79	
Mushrooms	 5	 1	 2	 1007.33	 1003.63	 19.24	
Sonar	 5	 1	 1	 23.56	 10.34	 4.09	
Sonar	 5	 1	 2	 22.23	 8.14	 3.38	
Thyroid_Disease	 5	 1	 1	 105.34	 101.48	 12.73	
Thyroid_Disease	 5	 1	 2	 190.81	 176.92	 20.06	
Wdbc	 5	 1	 1	 126.77	 110.39	 11.05	
Wdbc	 5	 1	 2	 105.72	 91.88	 11.93	
Wisconsin_Breast_Cancer	 5	 1	 1	 161.78	 142.39	 9.74	
Wisconsin_Breast_Cancer	 5	 1	 2	 157.79	 138.97	 12.39	
Wpbc	 5	 1	 1	 9.51	 1.29	 1.06	
Wpbc	 5	 1	 2	 13.21	 1.19	 1.13	
faults	 5	 1	 1	 147.30	 133.76	 18.28	
faults	 5	 1	 2	 121.68	 109.90	 10.23	
statlog	 5	 1	 1	 326.86	 321.52	 14.89	
statlog	 5	 1	 2	 332.37	 324.45	 14.14	
waveform	 5	 1	 1	 528.62	 501.64	 32.53	
waveform	 5	 1	 2	 476.33	 457.88	 31.36	
wine	 5	 1	 1	 178.21	 164.44	 14.03	
wine	 5	 1	 2	 201.37	 188.32	 18.50	
Anastomosis	 5	 2	 1	 6.10	 0.71	 0.92	
Anastomosis	 5	 2	 2	 15.01	 0.96	 0.98	
Australian	 5	 2	 1	 105.54	 100.19	 7.68	
Australian	 5	 2	 2	 104.73	 101.99	 7.92	
Congressional_Voting	 5	 2	 1	 105.55	 106.16	 5.65	
Congressional_Voting	 5	 2	 2	 108.91	 108.60	 7.12	
Echo_cardiogram	 5	 2	 1	 18.15	 15.87	 3.58	
Echo_cardiogram	 5	 2	 2	 19.68	 17.11	 3.46	
German	 5	 2	 1	 40.24	 26.63	 6.25	
German	 5	 2	 2	 39.80	 27.28	 4.95	
Heart_Disease	 5	 2	 1	 31.40	 24.78	 5.80	
Heart_Disease	 5	 2	 2	 34.19	 21.45	 4.33	
Hepatitis	 5	 2	 1	 15.41	 4.53	 2.13	
Hepatitis	 5	 2	 2	 13.55	 6.36	 2.03	
Ionosphere	 5	 2	 1	 67.29	 55.11	 10.79	
Ionosphere	 5	 2	 2	 40.90	 37.53	 6.99	
Labor_Relations	 5	 2	 1	 9.36	 4.22	 1.88	
Labor_Relations	 5	 2	 2	 7.21	 3.45	 1.39	
Liver_Disorders	 5	 2	 1	 17.47	 6.13	 2.89	
Liver_Disorders	 5	 2	 2	 12.40	 3.72	 1.92	
Molecular_Biology	 5	 2	 1	 8.57	 4.68	 2.22	
Molecular_Biology	 5	 2	 2	 15.69	 9.92	 2.68	
Mushrooms	 5	 2	 1	 1490.52	 1492.68	 26.53	
Mushrooms	 5	 2	 2	 1044.88	 1038.78	 25.15	
Sonar	 5	 2	 1	 25.36	 10.58	 4.22	
Sonar	 5	 2	 2	 23.33	 8.11	 3.53	
Thyroid_Disease	 5	 2	 1	 105.56	 100.79	 12.93	
Thyroid_Disease	 5	 2	 2	 192.12	 174.13	 20.34	
Wdbc	 5	 2	 1	 128.89	 113.47	 10.38	
Wdbc	 5	 2	 2	 106.31	 91.44	 11.68	
Wisconsin_Breast_Cancer	 5	 2	 1	 169.52	 148.26	 11.03	
Wisconsin_Breast_Cancer	 5	 2	 2	 159.55	 142.73	 10.81	
Wpbc	 5	 2	 1	 9.96	 1.47	 1.18	
Wpbc	 5	 2	 2	 14.22	 1.21	 1.11	
faults	 5	 2	 1	 158.20	 139.82	 16.79	
faults	 5	 2	 2	 125.20	 107.26	 10.08	
statlog	 5	 2	 1	 328.55	 319.81	 14.71	
statlog	 5	 2	 2	 335.90	 322.85	 14.14	
waveform	 5	 2	 1	 543.83	 519.71	 30.94	
waveform	 5	 2	 2	 492.57	 475.84	 26.88	
wine	 5	 2	 1	 181.61	 163.67	 13.37	
wine	 5	 2	 2	 202.29	 190.81	 17.69	
Anastomosis	 5	 4	 1	 6.20	 0.82	 0.92	
Anastomosis	 5	 4	 2	 16.01	 0.88	 0.96	
Australian	 5	 4	 1	 105.92	 100.42	 8.56	
Australian	 5	 4	 2	 104.99	 100.99	 9.16	
Congressional_Voting	 5	 4	 1	 106.26	 105.58	 6.29	
Congressional_Voting	 5	 4	 2	 109.22	 108.23	 7.20	
Echo_cardiogram	 5	 4	 1	 18.08	 15.82	 3.50	
Echo_cardiogram	 5	 4	 2	 19.81	 16.74	 4.12	
German	 5	 4	 1	 40.98	 25.58	 6.01	
German	 5	 4	 2	 39.91	 26.94	 4.86	
Heart_Disease	 5	 4	 1	 32.14	 24.70	 5.40	
Heart_Disease	 5	 4	 2	 34.40	 21.46	 4.13	
Hepatitis	 5	 4	 1	 15.53	 4.47	 2.22	
Hepatitis	 5	 4	 2	 14.18	 6.31	 2.13	
Ionosphere	 5	 4	 1	 69.25	 58.09	 8.59	
Ionosphere	 5	 4	 2	 40.79	 37.54	 7.10	
Labor_Relations	 5	 4	 1	 10.06	 4.90	 1.99	
Labor_Relations	 5	 4	 2	 7.24	 3.58	 1.47	
Liver_Disorders	 5	 4	 1	 18.09	 6.43	 2.93	
Liver_Disorders	 5	 4	 2	 12.64	 3.59	 1.84	
Molecular_Biology	 5	 4	 1	 8.74	 4.46	 2.11	
Molecular_Biology	 5	 4	 2	 15.70	 10.32	 2.77	
Mushrooms	 5	 4	 1	 1492.20	 1491.01	 28.97	
Mushrooms	 5	 4	 2	 1049.41	 1041.51	 23.24	
Sonar	 5	 4	 1	 26.26	 10.92	 3.92	
Sonar	 5	 4	 2	 24.80	 8.33	 3.44	
Thyroid_Disease	 5	 4	 1	 105.28	 99.73	 13.78	
Thyroid_Disease	 5	 4	 2	 191.42	 174.66	 19.55	
Wdbc	 5	 4	 1	 131.31	 114.80	 10.66	
Wdbc	 5	 4	 2	 108.60	 90.12	 11.09	
Wisconsin_Breast_Cancer	 5	 4	 1	 175.05	 150.90	 9.93	
Wisconsin_Breast_Cancer	 5	 4	 2	 163.02	 145.88	 11.51	
Wpbc	 5	 4	 1	 10.70	 1.46	 1.12	
Wpbc	 5	 4	 2	 15.81	 1.15	 1.02	
faults	 5	 4	 1	 169.30	 147.63	 16.49	
faults	 5	 4	 2	 126.97	 106.36	 10.64	
statlog	 5	 4	 1	 326.89	 319.85	 16.77	
statlog	 5	 4	 2	 334.93	 323.44	 14.61	
waveform	 5	 4	 1	 558.96	 531.88	 29.19	
waveform	 5	 4	 2	 503.45	 479.75	 26.95	
wine	 5	 4	 1	 183.89	 162.89	 12.62	
wine	 5	 4	 2	 204.34	 189.89	 16.26	
Anastomosis	 5	 7	 1	 6.56	 0.80	 0.84	
Anastomosis	 5	 7	 2	 16.56	 0.92	 0.95	
Australian	 5	 7	 1	 106.04	 99.78	 8.53	
Australian	 5	 7	 2	 104.98	 101.17	 9.14	
Congressional_Voting	 5	 7	 1	 105.78	 105.98	 5.73	
Congressional_Voting	 5	 7	 2	 108.61	 109.29	 6.81	
Echo_cardiogram	 5	 7	 1	 18.05	 15.55	 3.88	
Echo_cardiogram	 5	 7	 2	 19.56	 17.28	 3.94	
German	 5	 7	 1	 40.83	 26.20	 6.78	
German	 5	 7	 2	 39.75	 26.94	 5.17	
Heart_Disease	 5	 7	 1	 31.67	 24.95	 5.52	
Heart_Disease	 5	 7	 2	 34.34	 21.37	 4.40	
Hepatitis	 5	 7	 1	 16.23	 4.46	 2.27	
Hepatitis	 5	 7	 2	 14.36	 6.56	 2.23	
Ionosphere	 5	 7	 1	 70.56	 59.30	 8.44	
Ionosphere	 5	 7	 2	 40.82	 37.07	 7.43	
Labor_Relations	 5	 7	 1	 10.20	 5.59	 2.23	
Labor_Relations	 5	 7	 2	 7.44	 3.67	 1.40	
Liver_Disorders	 5	 7	 1	 18.48	 6.53	 2.82	
Liver_Disorders	 5	 7	 2	 13.26	 3.33	 1.49	
Molecular_Biology	 5	 7	 1	 8.69	 4.66	 1.98	
Molecular_Biology	 5	 7	 2	 15.51	 10.22	 2.73	
Mushrooms	 5	 7	 1	 1493.23	 1489.97	 28.24	
Mushrooms	 5	 7	 2	 1287.27	 1273.60	 212.31	
Sonar	 5	 7	 1	 27.25	 10.69	 4.04	
Sonar	 5	 7	 2	 25.39	 8.20	 3.21	
Thyroid_Disease	 5	 7	 1	 105.28	 101.27	 13.81	
Thyroid_Disease	 5	 7	 2	 192.48	 176.97	 19.87	
Wdbc	 5	 7	 1	 132.61	 115.17	 9.92	
Wdbc	 5	 7	 2	 109.32	 90.91	 12.92	
Wisconsin_Breast_Cancer	 5	 7	 1	 177.41	 152.78	 11.33	
Wisconsin_Breast_Cancer	 5	 7	 2	 162.74	 147.67	 10.82	
Wpbc	 5	 7	 1	 11.10	 1.43	 1.10	
Wpbc	 5	 7	 2	 16.20	 1.23	 1.15	
faults	 5	 7	 1	 175.55	 156.40	 20.00	
faults	 5	 7	 2	 129.41	 105.55	 10.68	
statlog	 5	 7	 1	 328.26	 317.63	 16.94	
statlog	 5	 7	 2	 335.62	 321.63	 13.07	
waveform	 5	 7	 1	 567.02	 541.05	 29.29	
waveform	 5	 7	 2	 512.76	 485.77	 26.08	
wine	 5	 7	 1	 182.52	 164.95	 11.91	
wine	 5	 7	 2	 203.83	 191.62	 15.82	
Anastomosis	 5	 10	 1	 6.76	 0.79	 0.90	
Anastomosis	 5	 10	 2	 16.81	 0.85	 0.99	
Australian	 5	 10	 1	 106.14	 100.01	 7.91	
Australian	 5	 10	 2	 105.05	 101.20	 8.91	
Congressional_Voting	 5	 10	 1	 105.79	 105.92	 5.59	
Congressional_Voting	 5	 10	 2	 108.90	 108.81	 6.46	
Echo_cardiogram	 5	 10	 1	 18.28	 15.68	 3.43	
Echo_cardiogram	 5	 10	 2	 19.56	 16.83	 4.14	
German	 5	 10	 1	 40.99	 26.15	 6.89	
German	 5	 10	 2	 40.38	 26.20	 4.92	
Heart_Disease	 5	 10	 1	 31.55	 25.20	 5.58	
Heart_Disease	 5	 10	 2	 34.18	 21.57	 4.44	
Hepatitis	 5	 10	 1	 15.93	 4.31	 2.14	
Hepatitis	 5	 10	 2	 14.45	 6.05	 2.29	
Ionosphere	 5	 10	 1	 71.50	 59.82	 8.69	
Ionosphere	 5	 10	 2	 41.00	 37.30	 7.34	
Labor_Relations	 5	 10	 1	 10.15	 5.35	 2.20	
Labor_Relations	 5	 10	 2	 7.40	 3.62	 1.38	
Liver_Disorders	 5	 10	 1	 18.74	 6.86	 2.77	
Liver_Disorders	 5	 10	 2	 13.30	 3.05	 1.57	
Molecular_Biology	 5	 10	 1	 8.83	 4.60	 2.11	
Molecular_Biology	 5	 10	 2	 15.78	 9.93	 2.82	
Mushrooms	 5	 10	 1	 1490.27	 1492.92	 28.90	
Mushrooms	 5	 10	 2	 1475.67	 1472.49	 28.34	
Sonar	 5	 10	 1	 27.77	 10.65	 3.87	
Sonar	 5	 10	 2	 25.69	 8.33	 3.44	
Thyroid_Disease	 5	 10	 1	 105.61	 100.80	 14.14	
Thyroid_Disease	 5	 10	 2	 193.47	 177.61	 20.42	
Wdbc	 5	 10	 1	 133.09	 114.64	 11.08	
Wdbc	 5	 10	 2	 109.34	 90.18	 12.01	
Wisconsin_Breast_Cancer	 5	 10	 1	 179.35	 153.75	 10.52	
Wisconsin_Breast_Cancer	 5	 10	 2	 163.11	 146.96	 10.50	
Wpbc	 5	 10	 1	 11.43	 1.48	 1.05	
Wpbc	 5	 10	 2	 16.53	 1.23	 1.17	
faults	 5	 10	 1	 177.44	 159.90	 19.21	
faults	 5	 10	 2	 129.45	 105.15	 10.06	
statlog	 5	 10	 1	 327.54	 317.58	 18.78	
statlog	 5	 10	 2	 334.72	 321.87	 14.77	
waveform	 5	 10	 1	 570.54	 544.67	 26.14	
waveform	 5	 10	 2	 516.27	 491.60	 27.33	
wine	 5	 10	 1	 183.34	 163.61	 12.66	
wine	 5	 10	 2	 203.32	 194.67	 15.11	
Anastomosis	 5	 15	 1	 6.86	 0.77	 0.91	
Anastomosis	 5	 15	 2	 16.72	 0.86	 0.98	
Australian	 5	 15	 1	 105.82	 100.15	 7.71	
Australian	 5	 15	 2	 105.01	 101.18	 8.69	
Congressional_Voting	 5	 15	 1	 105.52	 106.18	 5.47	
Congressional_Voting	 5	 15	 2	 108.88	 108.71	 7.25	
Echo_cardiogram	 5	 15	 1	 18.31	 16.04	 3.21	
Echo_cardiogram	 5	 15	 2	 19.71	 16.52	 4.35	
German	 5	 15	 1	 40.72	 26.00	 6.65	
German	 5	 15	 2	 39.80	 26.87	 4.71	
Heart_Disease	 5	 15	 1	 31.83	 24.64	 5.99	
Heart_Disease	 5	 15	 2	 34.44	 21.37	 4.57	
Hepatitis	 5	 15	 1	 16.26	 4.55	 2.16	
Hepatitis	 5	 15	 2	 14.29	 6.37	 2.23	
Ionosphere	 5	 15	 1	 71.82	 59.51	 8.58	
Ionosphere	 5	 15	 2	 40.98	 36.21	 8.02	
Labor_Relations	 5	 15	 1	 10.26	 5.37	 2.25	
Labor_Relations	 5	 15	 2	 7.56	 3.40	 1.35	
Liver_Disorders	 5	 15	 1	 18.83	 6.72	 2.77	
Liver_Disorders	 5	 15	 2	 13.54	 2.84	 1.45	
Molecular_Biology	 5	 15	 1	 8.72	 4.41	 2.17	
Molecular_Biology	 5	 15	 2	 15.60	 10.33	 2.83	
Mushrooms	 5	 15	 1	 1491.91	 1491.28	 26.15	
Mushrooms	 5	 15	 2	 1476.81	 1471.42	 28.56	
Sonar	 5	 15	 1	 28.12	 9.99	 3.95	
Sonar	 5	 15	 2	 25.77	 8.43	 3.28	
Thyroid_Disease	 5	 15	 1	 105.83	 100.33	 12.36	
Thyroid_Disease	 5	 15	 2	 192.13	 175.38	 19.12	
Wdbc	 5	 15	 1	 133.76	 115.97	 10.25	
Wdbc	 5	 15	 2	 110.47	 90.34	 12.99	
Wisconsin_Breast_Cancer	 5	 15	 1	 179.70	 154.89	 11.50	
Wisconsin_Breast_Cancer	 5	 15	 2	 163.56	 147.51	 10.02	
Wpbc	 5	 15	 1	 11.73	 1.43	 1.13	
Wpbc	 5	 15	 2	 17.08	 1.36	 1.22	
faults	 5	 15	 1	 181.76	 162.04	 15.33	
faults	 5	 15	 2	 130.89	 104.92	 9.89	
statlog	 5	 15	 1	 328.51	 318.63	 17.15	
statlog	 5	 15	 2	 335.59	 321.13	 14.69	
waveform	 5	 15	 1	 570.67	 549.02	 24.67	
waveform	 5	 15	 2	 522.36	 492.63	 28.61	
wine	 5	 15	 1	 183.15	 164.93	 12.71	
wine	 5	 15	 2	 205.24	 193.86	 16.28	
Anastomosis	 5	 25	 1	 7.02	 0.91	 0.96	
Anastomosis	 5	 25	 2	 16.68	 0.89	 0.98	
Australian	 5	 25	 1	 105.78	 99.60	 7.93	
Australian	 5	 25	 2	 105.03	 101.56	 8.05	
Congressional_Voting	 5	 25	 1	 105.68	 106.01	 5.54	
Congressional_Voting	 5	 25	 2	 108.73	 108.68	 7.42	
Echo_cardiogram	 5	 25	 1	 18.39	 15.53	 3.65	
Echo_cardiogram	 5	 25	 2	 19.83	 16.60	 3.86	
German	 5	 25	 1	 41.55	 26.12	 6.70	
German	 5	 25	 2	 40.31	 26.51	 4.79	
Heart_Disease	 5	 25	 1	 32.11	 24.78	 5.67	
Heart_Disease	 5	 25	 2	 34.57	 21.35	 4.26	
Hepatitis	 5	 25	 1	 15.90	 4.63	 2.12	
Hepatitis	 5	 25	 2	 14.54	 6.58	 2.24	
Ionosphere	 5	 25	 1	 71.48	 60.05	 9.24	
Ionosphere	 5	 25	 2	 40.78	 36.27	 8.58	
Labor_Relations	 5	 25	 1	 10.34	 5.45	 2.27	
Labor_Relations	 5	 25	 2	 7.45	 3.58	 1.28	
Liver_Disorders	 5	 25	 1	 19.12	 6.40	 2.62	
Liver_Disorders	 5	 25	 2	 13.44	 2.89	 1.40	
Molecular_Biology	 5	 25	 1	 8.82	 4.67	 2.05	
Molecular_Biology	 5	 25	 2	 15.71	 9.97	 2.75	
Mushrooms	 5	 25	 1	 1492.44	 1490.88	 29.77	
Mushrooms	 5	 25	 2	 1477.06	 1471.04	 28.25	
Sonar	 5	 25	 1	 28.52	 10.49	 3.92	
Sonar	 5	 25	 2	 26.26	 8.26	 3.09	
Thyroid_Disease	 5	 25	 1	 105.85	 99.97	 13.57	
Thyroid_Disease	 5	 25	 2	 193.80	 176.96	 19.75	
Wdbc	 5	 25	 1	 134.75	 115.72	 9.98	
Wdbc	 5	 25	 2	 109.69	 90.14	 12.66	
Wisconsin_Breast_Cancer	 5	 25	 1	 181.29	 157.74	 10.89	
Wisconsin_Breast_Cancer	 5	 25	 2	 163.78	 147.20	 10.33	
Wpbc	 5	 25	 1	 11.78	 1.47	 1.13	
Wpbc	 5	 25	 2	 17.16	 1.44	 1.16	
faults	 5	 25	 1	 183.89	 163.08	 16.31	
faults	 5	 25	 2	 132.34	 105.13	 10.88	
statlog	 5	 25	 1	 328.81	 315.92	 16.99	
statlog	 5	 25	 2	 336.04	 320.94	 14.02	
waveform	 5	 25	 1	 575.18	 549.36	 27.40	
waveform	 5	 25	 2	 524.70	 493.18	 27.98	
wine	 5	 25	 1	 184.17	 164.08	 12.53	
wine	 5	 25	 2	 206.94	 192.12	 15.14	
Anastomosis	 6	 1	 1	 5.72	 0.75	 0.86	
Anastomosis	 6	 1	 2	 13.59	 1.16	 1.29	
Australian	 6	 1	 1	 105.65	 100.27	 8.46	
Australian	 6	 1	 2	 104.66	 101.64	 7.95	
Congressional_Voting	 6	 1	 1	 105.98	 105.72	 5.43	
Congressional_Voting	 6	 1	 2	 109.49	 108.26	 6.29	
Echo_cardiogram	 6	 1	 1	 18.37	 16.20	 3.24	
Echo_cardiogram	 6	 1	 2	 19.04	 16.18	 3.75	
German	 6	 1	 1	 40.12	 26.47	 5.99	
German	 6	 1	 2	 38.87	 27.50	 4.77	
Heart_Disease	 6	 1	 1	 31.39	 23.98	 5.49	
Heart_Disease	 6	 1	 2	 33.93	 21.37	 4.16	
Hepatitis	 6	 1	 1	 14.43	 4.52	 2.28	
Hepatitis	 6	 1	 2	 13.21	 6.04	 2.32	
Ionosphere	 6	 1	 1	 63.63	 52.94	 12.89	
Ionosphere	 6	 1	 2	 40.59	 38.29	 6.57	
Labor_Relations	 6	 1	 1	 8.72	 3.83	 1.67	
Labor_Relations	 6	 1	 2	 7.00	 3.64	 1.37	
Liver_Disorders	 6	 1	 1	 16.12	 5.51	 2.80	
Liver_Disorders	 6	 1	 2	 11.24	 4.60	 2.25	
Molecular_Biology	 6	 1	 1	 8.58	 4.51	 2.22	
Molecular_Biology	 6	 1	 2	 15.27	 10.32	 2.76	
Mushrooms	 6	 1	 1	 1490.21	 1493.02	 27.94	
Mushrooms	 6	 1	 2	 1005.05	 1005.92	 19.54	
Sonar	 6	 1	 1	 24.17	 10.46	 4.06	
Sonar	 6	 1	 2	 23.06	 7.58	 3.24	
Thyroid_Disease	 6	 1	 1	 104.28	 100.14	 13.53	
Thyroid_Disease	 6	 1	 2	 190.35	 173.98	 20.35	
Wdbc	 6	 1	 1	 128.00	 111.13	 11.47	
Wdbc	 6	 1	 2	 105.26	 91.24	 12.62	
Wisconsin_Breast_Cancer	 6	 1	 1	 162.32	 144.69	 9.91	
Wisconsin_Breast_Cancer	 6	 1	 2	 155.99	 138.19	 13.51	
Wpbc	 6	 1	 1	 9.44	 1.32	 1.11	
Wpbc	 6	 1	 2	 12.93	 1.01	 1.00	
faults	 6	 1	 1	 146.48	 132.81	 17.69	
faults	 6	 1	 2	 122.29	 109.89	 9.96	
statlog	 6	 1	 1	 324.88	 322.35	 16.91	
statlog	 6	 1	 2	 331.90	 323.20	 14.29	
waveform	 6	 1	 1	 530.73	 507.37	 31.34	
waveform	 6	 1	 2	 478.66	 460.88	 29.44	
wine	 6	 1	 1	 178.23	 163.31	 13.99	
wine	 6	 1	 2	 200.43	 188.58	 16.73	
Anastomosis	 6	 2	 1	 5.83	 0.89	 0.87	
Anastomosis	 6	 2	 2	 15.50	 1.05	 1.18	
Australian	 6	 2	 1	 106.12	 99.87	 7.90	
Australian	 6	 2	 2	 105.26	 101.00	 8.26	
Congressional_Voting	 6	 2	 1	 105.72	 106.04	 5.57	
Congressional_Voting	 6	 2	 2	 108.49	 109.35	 6.48	
Echo_cardiogram	 6	 2	 1	 18.26	 15.65	 3.36	
Echo_cardiogram	 6	 2	 2	 19.64	 16.71	 4.15	
German	 6	 2	 1	 41.03	 25.57	 6.27	
German	 6	 2	 2	 40.06	 27.02	 4.89	
Heart_Disease	 6	 2	 1	 30.81	 24.37	 5.79	
Heart_Disease	 6	 2	 2	 33.97	 21.55	 4.38	
Hepatitis	 6	 2	 1	 15.29	 4.11	 2.05	
Hepatitis	 6	 2	 2	 13.75	 6.33	 2.27	
Ionosphere	 6	 2	 1	 68.05	 56.13	 10.72	
Ionosphere	 6	 2	 2	 40.83	 37.82	 6.77	
Labor_Relations	 6	 2	 1	 9.38	 4.31	 1.77	
Labor_Relations	 6	 2	 2	 7.31	 3.52	 1.33	
Liver_Disorders	 6	 2	 1	 17.14	 6.15	 2.60	
Liver_Disorders	 6	 2	 2	 12.04	 3.64	 1.92	
Molecular_Biology	 6	 2	 1	 8.58	 4.51	 2.24	
Molecular_Biology	 6	 2	 2	 15.59	 10.12	 2.76	
Mushrooms	 6	 2	 1	 1490.85	 1492.30	 27.37	
Mushrooms	 6	 2	 2	 1046.64	 1037.32	 22.95	
Sonar	 6	 2	 1	 25.91	 10.42	 4.14	
Sonar	 6	 2	 2	 24.30	 7.75	 3.63	
Thyroid_Disease	 6	 2	 1	 105.22	 99.63	 13.99	
Thyroid_Disease	 6	 2	 2	 192.75	 174.94	 20.35	
Wdbc	 6	 2	 1	 129.59	 113.36	 10.80	
Wdbc	 6	 2	 2	 107.36	 91.80	 11.85	
Wisconsin_Breast_Cancer	 6	 2	 1	 168.93	 148.36	 9.45	
Wisconsin_Breast_Cancer	 6	 2	 2	 159.14	 142.96	 11.26	
Wpbc	 6	 2	 1	 10.21	 1.38	 1.13	
Wpbc	 6	 2	 2	 15.02	 1.15	 1.09	
faults	 6	 2	 1	 157.57	 141.29	 18.38	
faults	 6	 2	 2	 125.30	 106.60	 10.53	
statlog	 6	 2	 1	 327.76	 319.81	 16.44	
statlog	 6	 2	 2	 334.48	 322.58	 13.70	
waveform	 6	 2	 1	 544.60	 518.73	 30.30	
waveform	 6	 2	 2	 491.67	 469.36	 26.54	
wine	 6	 2	 1	 180.17	 164.77	 11.82	
wine	 6	 2	 2	 202.17	 190.88	 16.32	
Anastomosis	 6	 4	 1	 6.33	 0.76	 0.87	
Anastomosis	 6	 4	 2	 16.73	 0.90	 1.04	
Australian	 6	 4	 1	 105.99	 100.40	 8.07	
Australian	 6	 4	 2	 105.28	 100.78	 9.22	
Congressional_Voting	 6	 4	 1	 105.01	 106.82	 6.33	
Congressional_Voting	 6	 4	 2	 108.20	 109.72	 7.34	
Echo_cardiogram	 6	 4	 1	 18.39	 15.36	 3.48	
Echo_cardiogram	 6	 4	 2	 19.70	 16.38	 4.07	
German	 6	 4	 1	 40.92	 25.32	 6.39	
German	 6	 4	 2	 39.88	 27.15	 5.08	
Heart_Disease	 6	 4	 1	 31.80	 25.01	 6.14	
Heart_Disease	 6	 4	 2	 34.35	 21.10	 4.43	
Hepatitis	 6	 4	 1	 15.56	 4.57	 2.22	
Hepatitis	 6	 4	 2	 14.13	 6.56	 2.02	
Ionosphere	 6	 4	 1	 70.12	 58.85	 9.66	
Ionosphere	 6	 4	 2	 40.56	 37.59	 7.04	
Labor_Relations	 6	 4	 1	 10.15	 4.97	 2.14	
Labor_Relations	 6	 4	 2	 7.47	 3.51	 1.41	
Liver_Disorders	 6	 4	 1	 18.14	 6.27	 2.68	
Liver_Disorders	 6	 4	 2	 12.80	 3.36	 1.58	
Molecular_Biology	 6	 4	 1	 8.55	 4.81	 2.10	
Molecular_Biology	 6	 4	 2	 15.48	 10.52	 2.53	
Mushrooms	 6	 4	 1	 1493.49	 1489.67	 26.16	
Mushrooms	 6	 4	 2	 1047.19	 1043.74	 24.25	
Sonar	 6	 4	 1	 26.58	 10.90	 4.11	
Sonar	 6	 4	 2	 25.16	 8.49	 3.48	
