taskname	maxRank	T1	targetclass	meanTrainInfo	meanTestInfo	stdTestInfo	RuleLength	ExtraOptions
Mushrooms	 2	 1	 1	 1494.73	 1488.44	 26.29	 1.00	 stabilize=yes, prune=yes, postStabilize=no	
Mushrooms	 2	 1	 2	 1006.69	 1004.25	 18.25	 1.00	 stabilize=yes, prune=yes, postStabilize=no	
Mushrooms	 2	 1	 1	 1492.75	 1490.29	 25.07	 1.00	 stabilize=yes, prune=yes, postStabilize=yes	
Mushrooms	 2	 1	 2	 1007.49	 1003.47	 19.50	 1.00	 stabilize=yes, prune=yes, postStabilize=yes	
Sonar	 2	 1	 1	 21.57	 9.74	 4.03	 1.95	 stabilize=no, prune=no, postStabilize=no	
Sonar	 2	 1	 2	 20.75	 9.05	 3.36	 1.94	 stabilize=no, prune=no, postStabilize=no	
Sonar	 2	 1	 1	 23.97	 9.90	 3.73	 1.98	 stabilize=yes, prune=no, postStabilize=no	
Sonar	 2	 1	 2	 22.88	 9.34	 3.70	 1.99	 stabilize=yes, prune=no, postStabilize=no	
Sonar	 2	 1	 1	 20.17	 8.87	 4.32	 1.75	 stabilize=yes, prune=yes, postStabilize=no	
Sonar	 2	 1	 2	 19.91	 8.64	 4.30	 1.75	 stabilize=yes, prune=yes, postStabilize=no	
Sonar	 2	 1	 1	 21.04	 8.77	 4.23	 1.74	 stabilize=yes, prune=yes, postStabilize=yes	
Sonar	 2	 1	 2	 20.69	 8.44	 3.77	 1.73	 stabilize=yes, prune=yes, postStabilize=yes	
Thyroid_Disease	 2	 1	 1	 132.96	 129.49	 9.03	 1.04	 stabilize=no, prune=no, postStabilize=no	
Thyroid_Disease	 2	 1	 2	 233.62	 223.77	 21.22	 2.00	 stabilize=no, prune=no, postStabilize=no	
Thyroid_Disease	 2	 1	 1	 135.44	 129.36	 8.69	 1.05	 stabilize=yes, prune=no, postStabilize=no	
Thyroid_Disease	 2	 1	 2	 245.20	 234.64	 16.23	 2.00	 stabilize=yes, prune=no, postStabilize=no	
Thyroid_Disease	 2	 1	 1	 133.89	 128.55	 9.08	 1.00	 stabilize=yes, prune=yes, postStabilize=no	
